degree_level,university_name,study_name,start_date,end_date,gpa,thesis,courses
Bachelor,Universiteit Leiden,International Bachelor in Psychology (IBP),2016-09-01,2019-07-01,8.0,Violation of homogeneity of variances: A comparison between Welch’s t-test and the permutation test,"Applied Cognitive Psychology; Cognitive Neuroscience; Clinical Neuropsychology; Artificial Intelligence; Minor in Programming"
Master,Universiteit van Amsterdam,Information Studies - Data Science Track,2019-09-01,2021-07-01,7.95,Analysis of Movements Identified by Artificial Neural Network During Smartphone Use.,"Information Visualization; Information Organization"
